country,expenses_in_(per_tourist),tourism_in_(thousands),ppp,tourism_out_(thousands),expense_out_(per_tourist)
ARGENTINA,1098,2909,7440,4953,1102
ARMENIA,1155,45,660,111,504
AUSTRALIA,2873,4530,21110,3498,2510
BELARUS,3133,60,1380,1289,191
BOLIVIA,316,319,990,201,577
BRAZIL,370,5313,3850,3228,1408
BULGARIA,489,2785,1680,2337,326
CAMBODIA,740,466,300,41,1268
CANADA,664,19627,22530,19182,788.
CHILE,676,1742,5020,1319,685
CHINA,554,31229,930,10473,1352
COLOMBIA,2357,557,2320,1235,1175
COSTA RICA,1357,1088,3710,381,1446
EGYPT,910.,5116,1420,2964,406
EL SALVADOR,549.6855346,795,2160,923,237
ESTONIA,538,1220,4130,1800,140
FINLAND,749,2714,26420,5914,387
FRANCE,499,77190,25150,19886,1342
GABON,638,155,3090,168,1089
HONDURAS,558,471,920,274,722
INDIA,1358,2649,450,4416,834
IRELAND,529,6646,23920,3783,694
ISRAEL,1907,2417,18790,3530,1057
ITALY,697,41181,21820,21993,826
JORDAN,591,1580,1790,1625,238
KAZAKHSTAN,273,1471,1260,1247,387
KYRGYZSTAN,338,59,280,47,595
LATVIA,337,509,3740,2596,108
MALAYSIA,574,10222,3420,30532,83
MEXICO,442,20641,5750,11079,574
MOLDOVA,3166,18,370,32,2687
MOROCCO,532,4278,1310,1508,335
NEPAL,471,464,230,155,703
NORWAY,812,3104,36560,2394,2043
PANAMA,1297,484,3640,216,1115
PARAGUAY,304,289,1360,175,880
PERU,1076,800,1970,730,878
PHILIPPINES,1171,1992,1220,1670,1102
POLAND,352,17400,4690,56677,60
ROMANIA,120,3274,1700,6388,69
SOUTH AFRICA,568,5872,3140,3834,700
SPAIN,703,46403,15900,4100,1880
SRI LANKA,970,400,860,524,730
THAILAND,1037,9579,1950,1909,1685
TUNISIA,390,5058,2310,1632,189
UKRAINE,87,6431,700,13422,41
UNITED KINGDOM,1291,23212,27230,56837,827
UNITED STATES OF AMERICA,2359,51238,36070,61327,1491
URUGUAY,420,1968,7050,667,571
VENEZUELA,1000,469,4070,954,1726